emotion,pitch,intensity,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
01,1772.7737,0.002256089,-697.7926,54.89004,0.6634652,12.435786,7.7339506,0.5307501,-3.216631,-3.1593947,-10.977551,-2.848711,0.81529754,-3.0370667,1.9554468
01,1778.1255,0.0024186159,-692.8558,55.3639,-1.5483192,16.038307,8.81881,-0.14658625,-1.3733919,-5.29318,-11.623182,-1.3482836,0.8437146,-2.6412783,1.0172496
01,1789.1708,0.002809294,-691.5879,58.024662,0.15946469,13.62465,5.374112,1.1623365,-2.0833597,-5.382585,-10.332824,-3.6620808,0.5606006,-2.8382254,1.8347856
01,1712.2599,0.0026172653,-685.10547,55.87942,2.783262,13.252024,6.9896684,2.9812741,-1.5860289,-6.961661,-10.348489,-3.270769,1.1761655,-1.4986562,0.5515501
02,1811.1483,0.0016532314,-727.1044,62.355034,3.121181,15.064671,8.132434,1.927084,-3.2746563,-3.7617917,-9.7502985,-4.8538365,0.99631536,-3.1160698,0.5463205
02,1847.5775,0.001752111,-707.3582,66.736465,2.2534883,11.169916,9.74208,1.058092,-4.4261856,-4.6836147,-8.313273,-4.8136663,1.7525572,-2.3765423,-0.20691955
02,1781.8867,0.0026211368,-697.16614,65.1082,0.93036777,13.633627,5.959596,2.8950698,-1.3418186,-4.775753,-8.671515,-4.5529985,1.9706045,-1.6276461,1.4267263
02,1687.7242,0.002669931,-698.6377,68.698586,1.1003666,13.685944,8.338751,2.0671213,-0.6167906,-5.732325,-7.8613234,-4.411919,1.0114723,-1.7058654,1.593434
02,1823.3536,0.0015008143,-734.1256,70.53291,4.2251797,13.866501,9.2765255,1.8420302,-3.7091064,-2.8845074,-6.3325033,-4.483915,2.006491,-0.029675055,-0.17859086
02,1857.4028,0.0016126233,-697.8223,67.33959,-0.44955143,11.884349,6.899115,0.57238865,-4.5503764,-6.025094,-7.9348655,-4.8724413,2.6747522,-1.4644698,-1.1086313
02,1793.9218,0.0020959415,-704.5413,68.82944,4.728955,11.950599,5.6388826,5.8340936,-4.8624907,-4.862799,-8.308453,-4.8761907,2.3179216,1.222751,0.59549457
02,1875.3195,0.0021334921,-690.9957,65.29337,-3.5145001,14.551637,6.7378373,2.9514792,-4.3670077,-8.268066,-9.742737,-3.7135794,3.773647,-0.95878893,-0.26622182
03,1672.7345,0.0042630234,-645.9547,63.116707,-4.3889427,12.588354,4.2411594,-2.9022603,-5.6718726,-6.6233625,-11.532383,-2.380413,-1.2910125,-6.802653,1.1827942
03,1844.2316,0.004905267,-631.407,62.999477,-5.8192096,15.460055,6.526638,-1.5888867,-6.597417,-4.806329,-13.677246,-1.3645011,0.13336664,-6.3668647,3.4054484
03,1847.2131,0.0037491552,-656.2289,62.20653,-2.3432076,12.91607,1.8241278,-0.17071337,-5.6699896,-7.286775,-13.776975,-3.3122015,2.3617578,-7.0014296,1.9307773
03,1698.2484,0.0037530952,-652.70056,57.02253,0.41843987,18.289316,2.6309884,0.41835546,-2.5292726,-6.284705,-13.434198,-3.6181445,0.6169871,-4.589428,2.576322
03,1865.7568,0.0064394563,-596.5581,49.15078,-5.9865155,5.6085687,-1.2716348,-1.2067615,-12.03728,-8.81426,-11.101425,-8.968307,-0.6817095,-7.0525784,-1.9013768
03,1743.6526,0.0082052145,-559.92334,54.875935,-11.518561,5.495307,2.415871,-1.8642917,-11.11178,-7.59675,-14.508147,-7.4336433,3.2631526,-7.8864746,-1.6498953
03,1745.2297,0.010928558,-517.75696,48.02012,-10.221419,7.83182,-0.17214859,-2.173067,-10.422513,-9.233612,-17.878965,-4.913381,0.0017015345,-9.143922,0.11875601
03,1813.7599,0.010219879,-539.19855,49.672794,-8.996246,6.914048,-1.1240026,-3.3295467,-9.793234,-9.628173,-17.208342,-7.140059,-1.7678515,-7.01247,-0.2807712
05,1888.7725,0.008675286,-546.11554,42.51581,-6.0192423,12.6451235,-1.4078629,-2.7939095,-4.3140874,-1.4580282,-12.457061,-4.777245,-0.857797,-4.7668257,-0.7102531
05,1881.9254,0.009701404,-526.2785,40.100628,-5.4062862,8.0860615,-3.3844347,-3.6563706,-7.031596,-8.578679,-13.11133,-6.5697446,-4.498286,-6.6619687,-3.4727755
05,1841.4832,0.0069032386,-570.9829,45.415054,-1.5627905,11.880343,-0.43858105,-1.7890217,-5.26024,-6.6141477,-13.445087,-4.125199,-3.6815126,-4.4055014,-1.00225
05,1857.4409,0.010876041,-530.8293,44.267376,-2.8641324,8.589871,0.015043081,-3.4850914,-4.3523197,-6.577349,-15.150324,-4.9910274,-2.5813372,-5.787801,0.28295916
05,1898.0714,0.053690005,-349.08368,29.868893,-20.021608,0.8248057,-11.38768,-4.3352494,-12.86241,-13.475211,-13.617985,-8.423022,-5.636474,-4.9704933,-7.1078963
05,1972.7699,0.03284571,-368.34802,22.302996,-18.730824,3.2124898,-10.238884,-5.3979926,-12.250566,-7.9842367,-16.876492,-9.074471,-4.7981224,-8.329525,-4.8784604
05,1954.5879,0.032815818,-401.70172,29.973305,-15.743985,4.8785286,-6.717307,-3.917073,-11.36485,-9.566884,-16.95793,-6.6101475,-4.1125803,-8.695933,-3.1835454
05,1908.8771,0.09226974,-303.9083,22.274927,-20.23263,-3.011253,-10.557668,-6.5886765,-16.995611,-11.742131,-16.091635,-9.435908,-2.4795754,-8.391646,-6.020057
01,1646.4443,0.0036161423,-650.7109,54.477303,-9.090127,8.411754,-4.387535,-3.7657063,-5.362752,-8.610381,-3.9715521,-0.89597374,-4.7214065,-1.9953878,-5.056729
01,1728.135,0.003526408,-646.0169,49.11971,-10.800371,11.480022,-5.8222346,-3.082372,-5.2919693,-7.318948,-2.7898753,-1.952381,-3.2981865,-2.3206332,-5.5060253
01,1695.4991,0.0053315903,-622.5786,51.31145,-10.439537,4.7658195,-4.809167,-3.219577,-5.721809,-9.393639,-5.245095,-1.987433,-5.037799,-2.8686624,-6.420317
01,1735.8838,0.00481182,-638.03485,46.49924,-9.892576,4.8966966,-6.4146495,-5.0707617,-6.280471,-10.606286,-6.0774646,-3.2331312,-5.6609917,-3.2739613,-8.5222
02,1796.8186,0.003299657,-663.2903,52.128677,-3.5836399,11.846414,-4.697628,-1.7755145,-3.4381077,-7.5618987,-3.0022,-2.1637712,-3.221826,-4.2773857,-4.5514054
02,1852.6776,0.0033932026,-658.6478,47.966007,-8.495083,8.638967,-5.663685,-2.8697906,-4.6740603,-9.24625,-3.0736196,-3.4952078,-3.970272,-7.1958947,-5.508158
02,1615.6338,0.0036745965,-656.9886,45.86949,-5.4771905,4.3142276,-4.4623194,-3.557982,-6.703658,-8.853257,-6.026569,-2.5972846,-6.314636,-4.853385,-7.071023
